ville,temperature,temperature_res,temperature_min,temperature_max,pression,humidite,vent_vitesse,vent_direction,lever_soleil,coucher_soleil,latitude,longitude
Paris,9.31,6.15,8.39,11.04,1026,58,6.69,50,07:24:51,20:22:48,48.8588897,2.3200410217200766
Marseille,16.57,15.3,13.42,17.14,1011,39,4.92,309,07:16:58,20:05:29,43.2961743,5.3699525
Lyon,6.37,4.74,5.75,7.03,1020,87,2.24,90,07:18:42,20:11:05,45.7578137,4.8320114
Toulouse,11.92,10.89,10.98,11.99,1021,66,6.69,310,07:32:58,20:21:56,43.6044622,1.4442469
Nice,10.7,8.69,8.34,12.26,1010,33,3.06,161,07:09:27,19:58:59,43.7009358,7.2683912
Nantes,7.96,4.98,7.81,8.72,1025,76,5.14,60,07:42:06,20:37:00,47.2186371,-1.5541362
Strasbourg,7.5,3.5,6.84,9.45,1026,57,7.72,50,07:03:34,20:00:56,48.584614,7.7507127
Montpellier,16.83,15.64,16.29,16.94,1014,41,6.69,340,07:23:14,20:12:11,43.6112422,3.8767337
Bordeaux,12.15,11.04,12.15,14.63,1023,62,2.06,60,07:40:04,20:31:01,44.841225,-0.5800364
Lille,10.46,8.84,8.54,11.79,1028,49,6.17,50,07:20:16,20:21:42,50.6365654,3.0635282
Rennes,6.02,3.34,6.02,8.65,1027,75,3.6,50,07:41:32,20:38:14,48.1113387,-1.6800198
Reims,8.88,5.44,8.41,9.47,1026,57,7.2,70,07:17:38,20:16:09,49.2577886,4.031926
Le Havre,9.51,7.34,8.86,9.51,1027,61,4.12,80,07:33:11,20:32:23,49.4938975,0.1079732
Saint-Étienne,5.55,2.38,4.29,5.56,1019,80,4.28,5,07:19:18,20:11:08,45.4401467,4.3873058
Toulon,17.41,16.67,15.7,21.51,1010,56,4.63,210,07:15:24,20:03:35,43.1257311,5.9304919
Grenoble,1.98,-0.68,1.98,3.22,1018,92,2.5,332,07:14:15,20:05:32,45.1875602,5.7357819
Dijon,5.97,2.26,5.85,9.06,1022,81,5.66,10,07:15:37,20:10:42,47.3215806,5.0414701
Angers,10.39,9.26,8.01,10.45,1025,68,4.41,54,07:37:43,20:33:07,47.4739884,-0.5515588
Nîmes,15.09,13.99,13.1,15.31,1014,51,9.26,360,07:20:50,20:10:16,43.8374249,4.3600687
Villeurbanne,8.53,4.56,7.97,9.46,1020,81,8.75,350,07:17:29,20:09:54,45.7733573,4.8868454
